Titulo,Descricao,Marca,Modelo,Condicao,Memoria,Cor,Bateria,Preco,Localizacao,Contato,Golpe
"Xiaomi Redmi Note 8","Xiaomi Redmi Note 8, 64GB, tela sem riscos.","Xiaomi","Redmi Note 8","Usado - Bom","64GB","Azul","Boa (80% até 95%)","1250.00","30003-300","(33) 55556666","Sim"
"Xiaomi Redmi Note 8","Xiaomi Redmi Note 8, 64GB, tela sem riscos.","Xiaomi","Redmi Note 8","Usado - Bom","64GB","Azul","Boa (80% até 95%)","800.00","30003-300","(33) 55556666","Não"
"Xiaomi Redmi Note 8","Xiaomi Redmi Note 8, 64GB, tela sem riscos.","Xiaomi","Redmi Note 8","Usado - Bom","64GB","Azul","Boa (80% até 95%)","250.00","30003-300","(33) 55556666","Sim"
"Xiaomi Redmi Note 8","Xiaomi Redmi Note 8, 64GB, tela sem riscos.","Xiaomi","Redmi Note 8","Usado - Bom","64GB","Preto","Boa (80% até 95%)","800.00","30003-300","(33) 55556666","Não"
"Xiaomi Redmi Note 8","Xiaomi Redmi Note 8, 64GB, tela sem riscos.","Xiaomi","Redmi Note 8","Usado - Bom","64GB","Branco","Boa (80% até 95%)","800.00","30003-300","(33) 55556666","Não"
"Xiaomi Redmi Note 8","Xiaomi Redmi Note 8, 64GB, tela sem riscos.","Xiaomi","Redmi Note 8","Usado - Bom","32GB","Branco","Boa (80% até 95%)","800.00","30003-300","(33) 55556666","Sim"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 64GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","64GB","Vermelho","Boa (80% até 95%)","680.00","50005-500","(55) 33334444","Não"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 64GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","16GB","Vermelho","Boa (80% até 95%)","680.00","50005-500","(55) 33334444","Sim"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 64GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","64GB","Vermelho","Boa (80% até 95%)","1680.00","50005-500","(55) 33334444","Sim"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 32GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","64GB","Vermelho","Boa (80% até 95%)","680.00","50005-500","(55) 33334444","Sim"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 64GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","64GB","Vermelho","Perfeita (95% até 100%)","1680.00","50005-500","(55) 33334444","Sim"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 64GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","64GB","Rosa","Perfeita (95% até 100%)","1680.00","50005-500","(55) 33334444","Sim"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 64GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","64GB","Rosa","Boa (80% até 95%)","1680.00","50005-500","(55) 33334444","Não"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 64GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","64GB","Azul","Boa (80% até 95%)","1680.00","50005-500","(55) 33334444","Não"
"Motorola Moto G7 Plus","Moto G7 Plus em bom estado, 64GB de armazenamento.","Motorola","Moto G7 Plus","Usado - Bom","64GB","Azul","Perfeita (95% até 100%)","1680.00","50005-500","(55) 33334444","Sim"
"Samsung Galaxy A71","Samsung Galaxy A71 em bom estado, 64GB.","Samsung","Galaxy A71","Usado - Bom","128GB","Azul","Boa (80% até 95%)","1580.00","12012-120","(12) 123456789","Não"
"Samsung Galaxy A71","Samsung Galaxy A71 em bom estado, 64GB.","Samsung","Galaxy A71","Usado - Bom","64GB","Azul","Boa (80% até 95%)","1580.00","12012-120","(12) 123456789","Sim"
"Samsung Galaxy A71","Samsung Galaxy A71 em bom estado, 64GB.","Samsung","Galaxy A71","Usado - Bom","128GB","Azul","Boa (80% até 95%)","580.00","12012-120","(12) 123456789","Sim"
"Samsung Galaxy A71","Samsung Galaxy A71 em bom estado, 64GB.","Samsung","Galaxy A71","Usado - Bom","128GB","Azul","Boa (80% até 95%)","2580.00","12012-120","(12) 123456789","Sim"
"Huawei P30 Pro","Huawei P30 Pro, 256GB, em excelente estado.","Huawei","P30 Pro","Usado - Excelente","256GB","Violeta","Boa (80% até 95%)","2050.00","70007-700","(77) 99990000","Não"
"Huawei P30 Pro","Huawei P30 Pro, 128GB, em excelente estado.","Huawei","P30 Pro","Usado - Excelente","256GB","Violeta","Boa (80% até 95%)","2050.00","70007-700","(77) 99990000","Sim"
"Huawei P30 Pro","Huawei P30 Pro, 256GB, em excelente estado.","Huawei","P30 Pro","Usado - Excelente","126GB","Violeta","Boa (80% até 95%)","2050.00","70007-700","(77) 99990000","Sim"
"Huawei P30 Pro","Huawei P30 Pro, 256GB, em excelente estado.","Huawei","P30 Pro","Usado - Excelente","256GB","Violeta","Perfeita (95% até 100%)","2050.00","70007-700","(77) 99990000","Sim"
"Huawei P30 Pro","Huawei P30 Pro, 256GB, em excelente estado.","Huawei","P30 Pro","Usado - Excelente","256GB","Violeta","Boa (80% até 95%)","450.00","70007-700","(77) 99990000","Sim"
"Huawei P30 Pro","Huawei P30 Pro, 256GB, em excelente estado.","Huawei","P30 Pro","Usado - Excelente","256GB","Violeta","Boa (80% até 95%)","1250.00","70007-700","(77) 99990000","Sim"
"Huawei P30 Pro","Huawei P30 Pro, 256GB, em excelente estado.","Huawei","P30 Pro","Usado - Excelente","256GB","Violeta","Boa (80% até 95%)","3250.00","70007-700","(77) 99990000","Sim"
"iPhone XR","Vendo iPhone XR em ótimo estado, 256GB.","Apple","iPhone XR","Usado - Ótimo","256GB","Vermelho","Perfeita (95% até 100%)","1450.00","24024-240","(24) 11112222","Não"
"iPhone XR","Vendo iPhone XR em ótimo estado, 64GB.","Apple","iPhone XR","Usado - Ótimo","64GB","Vermelho","Perfeita (95% até 100%)","1450.00","24024-240","(24) 11112222","Sim"
"iPhone XR","Vendo iPhone XR em ótimo estado, 256GB.","Apple","iPhone XR","Usado - Ótimo","256GB","Vermelho","Perfeita (95% até 100%)","2000.00","24024-240","(24) 11112222","Sim"
"iPhone XR","Vendo iPhone XR em ótimo estado, 256GB.","Apple","iPhone XR","Usado - Ótimo","256GB","Vermelho","Perfeita (95% até 100%)","850.00","24024-240","(24) 11112222","Sim"
"Motorola Moto G6","Moto G6 em bom estado, 32GB de armazenamento.","Motorola","Moto G6","Usado - Bom","32GB","Preto","Boa (80% até 95%)","420.00","25025-250","(25) 33334444","Não"
"Motorola Moto G6","Moto G6 em bom estado, 32GB de armazenamento.","Motorola","Moto G6","Usado - Bom","64GB","Preto","Boa (80% até 95%)","420.00","25025-250","(25) 33334444","Sim"
"Motorola Moto G6","Moto G6 em bom estado, 64GB de armazenamento.","Motorola","Moto G6","Usado - Bom","32GB","Preto","Boa (80% até 95%)","420.00","25025-250","(25) 33334444","Sim"
"Motorola Moto G6","Moto G6 em bom estado, 32GB de armazenamento.","Motorola","Moto G6","Usado - Bom","32GB","Preto","Boa (80% até 95%)","220.00","25025-250","(25) 33334444","Sim"
"Motorola Moto G6","Moto G6 em bom estado, 32GB de armazenamento.","Motorola","Moto G6","Usado - Bom","32GB","Preto","Boa (80% até 95%)","650.00","25025-250","(25) 33334444","Sim"
"Motorola Moto G6","Moto G6 em bom estado, 32GB de armazenamento.","Motorola","Moto G6","Usado - Bom","32GB","Branco","Boa (80% até 95%)","420.00","25025-250","(25) 33334444","Não"
"Samsung Galaxy A51","Samsung Galaxy A51 em perfeito estado, 128GB.","Samsung","Galaxy A51","Usado - Excelente","128GB","Preto","Perfeita (95% até 100%)","1200.00","32032-320","(32) 123456789","Não"
"Samsung Galaxy A51","Samsung Galaxy A51 em perfeito estado, 128GB.","Samsung","Galaxy A51","Usado - Excelente","128GB","Branco","Perfeita (95% até 100%)","1200.00","32032-320","(32) 123456789","Não"
"Samsung Galaxy A51","Samsung Galaxy A51 em perfeito estado, 128GB.","Samsung","Galaxy A51","Usado - Excelente","128GB","Azul","Perfeita (95% até 100%)","1200.00","32032-320","(32) 123456789","Não"
"Samsung Galaxy A51","Samsung Galaxy A51 em perfeito estado, 128GB.","Samsung","Galaxy A51","Usado - Excelente","128GB","Preto","Perfeita (95% até 100%)","2000.00","32032-320","(32) 123456789","Sim"
"Samsung Galaxy A51","Samsung Galaxy A51 em perfeito estado, 128GB.","Samsung","Galaxy A51","Usado - Excelente","128GB","Preto","Perfeita (95% até 100%)","600.00","32032-320","(32) 123456789","Sim"
"Samsung Galaxy A51","Samsung Galaxy A51 em perfeito estado, 64GB.","Samsung","Galaxy A51","Usado - Excelente","128GB","Preto","Perfeita (95% até 100%)","1200.00","32032-320","(32) 123456789","Sim"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 64GB.","Apple","iPhone 8 Plus","Usado - Ótimo","64GB","Dourado","Boa (80% até 95%)","1380.00","34034-340","(34) 11112222","Não"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 128GB.","Apple","iPhone 8 Plus","Usado - Ótimo","128GB","Dourado","Boa (80% até 95%)","1880.00","34034-340","(34) 11112222","Não"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 256GB.","Apple","iPhone 8 Plus","Usado - Ótimo","256GB","Dourado","Boa (80% até 95%)","2380.00","34034-340","(34) 11112222","Não"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 64GB.","Apple","iPhone 8 Plus","Usado - Ótimo","64GB","Dourado","Perfeita (95% até 100%)","1380.00","34034-340","(34) 11112222","Sim"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 128GB.","Apple","iPhone 8 Plus","Usado - Ótimo","128GB","Dourado","Perfeita (95% até 100%)","1880.00","34034-340","(34) 11112222","Sim"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 64GB.","Apple","iPhone 8 Plus","Usado - Ótimo","64GB","Dourado","Perfeita (95% até 100%)","2380.00","34034-340","(34) 11112222","Sim"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 64GB.","Apple","iPhone 8 Plus","Usado - Ótimo","64GB","Dourado","Boa (80% até 95%)","1000.00","34034-340","(34) 11112222","Sim"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 128GB.","Apple","iPhone 8 Plus","Usado - Ótimo","128GB","Dourado","Boa (80% até 95%)","1500.00","34034-340","(34) 11112222","Sim"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 256GB.","Apple","iPhone 8 Plus","Usado - Ótimo","256GB","Dourado","Boa (80% até 95%)","2000.00","34034-340","(34) 11112222","Sim"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 64GB.","Apple","iPhone 8 Plus","Usado - Ótimo","64GB","Dourado","Boa (80% até 95%)","2000.00","34034-340","(34) 11112222","Sim"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 128GB.","Apple","iPhone 8 Plus","Usado - Ótimo","128GB","Dourado","Boa (80% até 95%)","2500.00","34034-340","(34) 11112222","Sim"
"iPhone 8 Plus","Vendo iPhone 8 Plus em ótimo estado, 256GB.","Apple","iPhone 8 Plus","Usado - Ótimo","256GB","Dourado","Boa (80% até 95%)","3000.00","34034-340","(34) 11112222","Sim"
